episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
2410000,5868035,2053.3,0.039046,0.019523,0.406827,0.363308,0.451301,0.676774
2420000,5892142,2062.5,0.044772,0.022386,0.378353,0.399912,0.664525,0.650146
2430000,5916185,2071.9,0.046376,0.023188,0.427179,0.27996,0.368305,0.68141
2440000,5940229,2081.7,0.046128,0.023064,0.349911,0.314772,0.405074,0.620756
2450000,5964249,2091.9,0.044802,0.022401,0.379227,0.330826,0.53348,0.507055
2460000,5988163,2101.7,0.040292,0.020146,0.362295,0.300643,0.651368,0.603276
2470000,6012162,2111.4,0.037729,0.018865,0.374854,0.335688,0.41166,0.661569
2480000,6036226,2121.3,0.041215,0.020608,0.472248,0.347415,0.469159,0.696817
2490000,6060169,2130.8,0.042239,0.02112,0.396102,0.388297,0.643676,0.692524
2500000,6084084,2140.1,0.041613,0.020807,0.436123,0.323815,0.574183,0.460869
2510000,6107881,2149.4,0.038676,0.019338,0.452962,0.400908,0.470968,0.633395
2520000,6131843,2158.8,0.035222,0.017611,0.362253,0.274981,0.399147,0.772398
2530000,6155772,2168.1,0.041558,0.020779,0.395943,0.356308,0.452714,0.542809
2540000,6179611,2177.7,0.035042,0.017521,0.431505,0.395944,0.692556,0.402614
2550000,6203501,2187.0,0.035754,0.017877,0.383676,0.368775,0.645308,0.517308
2560000,6227383,2196.2,0.044586,0.022293,0.420446,0.419196,0.535603,0.568253
2570000,6251266,2205.5,0.039186,0.019593,0.428943,0.33036,0.395274,0.516412
2580000,6275244,2214.7,0.039966,0.019983,0.388388,0.354668,0.465237,0.564734
2590000,6299030,2223.9,0.038194,0.019097,0.391561,0.363709,0.396498,0.518768
2600000,6322866,2233.1,0.037337,0.018669,0.448497,0.317445,0.474774,0.590991
2610000,6346774,2242.5,0.036053,0.018026,0.409305,0.439781,0.578817,0.753788
2620000,6370577,2251.6,0.032296,0.016148,0.372809,0.324281,0.607022,0.693077
2630000,6394511,2260.7,0.033591,0.016796,0.452766,0.364787,0.497065,0.619663
2640000,6418465,2269.8,0.033474,0.016737,0.469947,0.363174,0.521965,0.688083
2650000,6442396,2278.9,0.038371,0.019185,0.395796,0.381613,0.475436,0.544029
2660000,6466415,2288.5,0.035532,0.017766,0.486703,0.353007,0.543715,0.542201
2670000,6490278,2298.1,0.038726,0.019363,0.469867,0.286148,0.515023,0.570943
2680000,6514166,2308.1,0.036323,0.018162,0.39109,0.348684,0.513924,0.598167
2690000,6538113,2317.6,0.034255,0.017127,0.333433,0.319115,0.512407,0.685216
2700000,6562033,2327.3,0.036755,0.018377,0.411205,0.413188,0.387979,0.566257
2710000,6585858,2337.3,0.033913,0.016957,0.350172,0.317798,0.754011,0.420118
2720000,6609925,2348.9,0.036914,0.018457,0.465247,0.383121,0.573838,0.609374
2730000,6633768,2360.7,0.037589,0.018795,0.384025,0.327181,0.442349,0.850841
2740000,6657915,2373.3,0.040147,0.020073,0.432878,0.387741,0.510546,0.569221
2750000,6682062,2384.3,0.03644,0.01822,0.420299,0.356797,0.580895,0.517917
2760000,6706078,2395.9,0.039038,0.019519,0.433139,0.396991,0.673504,0.670596
2770000,6730094,2405.7,0.038831,0.019415,0.419695,0.29706,0.754667,0.494921
2780000,6754108,2415.6,0.040559,0.02028,0.402827,0.348853,0.649358,0.39144
2790000,6778172,2425.8,0.03694,0.01847,0.38631,0.342737,0.445835,0.568106
2800000,6802204,2436.5,0.035379,0.01769,0.455232,0.371637,0.720179,0.471913
2810000,6826185,2447.4,0.033991,0.016996,0.411377,0.405316,0.586254,0.468578
2820000,6850245,2458.1,0.043753,0.021877,0.564019,0.388303,0.747183,0.486925
2830000,6874240,2469.2,0.037152,0.018576,0.423327,0.346041,0.702394,0.84016
2840000,6898210,2480.7,0.034861,0.01743,0.352559,0.435479,0.694694,0.500159
2850000,6922187,2492.1,0.03744,0.01872,0.33711,0.32227,0.64053,0.348622
2860000,6946131,2503.9,0.036986,0.018493,0.411742,0.307631,0.511433,0.645839
2870000,6970192,2515.3,0.034066,0.017033,0.368163,0.314134,0.671983,0.444144
2880000,6994212,2526.7,0.039704,0.019852,0.377788,0.357442,0.443309,0.565285
2890000,7018122,2537.5,0.040094,0.020047,0.438501,0.400586,0.598289,0.62215
2900000,7041949,2548.6,0.038021,0.01901,0.396176,0.335355,0.576062,0.592116
2910000,7065777,2559.6,0.034225,0.017112,0.411394,0.324623,0.512689,0.56173
2920000,7089521,2570.2,0.041348,0.020674,0.384434,0.353408,0.401991,0.39067
2930000,7113361,2580.8,0.035489,0.017744,0.397978,0.359464,0.623455,0.633507
2940000,7137212,2591.4,0.035552,0.017776,0.392043,0.313443,0.385749,0.656734
2950000,7160987,2601.9,0.027906,0.013953,0.491907,0.325675,0.691168,0.640797
2960000,7184781,2612.3,0.038325,0.019162,0.411794,0.349365,0.668812,0.794949
2970000,7208633,2623.2,0.032945,0.016473,0.403682,0.294308,0.448754,0.473949
2980000,7232571,2633.7,0.030975,0.015488,0.416101,0.341713,0.749414,0.543066
2990000,7256292,2644.1,0.028414,0.014207,0.451135,0.322641,0.593509,0.707449
3000000,7280167,2654.3,0.03555,0.017775,0.433908,0.378758,0.511197,0.498412
