detector,job,level,hidden,cap,hands,auroc,auroc_lo,auroc_hi,tpr,tpr_lo,tpr_hi,trials,fpr_heldout
D1,anti,,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0488
D2,imitate,0.05,128,1000,3000,0.511,0.4857,0.5363,0.0,0.0,0.0038,1000,0.0505
D2,imitate,0.1,128,1000,3000,0.4993,0.474,0.5246,0.198,0.1745,0.2238,1000,0.0505
D2,imitate,0.2,128,1000,3000,0.4971,0.4718,0.5224,0.001,0.0002,0.0056,1000,0.0505
D2,mix,0.05,128,1000,3000,0.9999,0.9994,1.0,0.553,0.522,0.5836,1000,0.0505
D2,mix,0.1,128,1000,3000,1.0,0.9997,1.0,1.0,0.9962,1.0,1000,0.0505
D2,mix,0.2,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D2,anti,,128,1000,3000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0505
D1,imitate,0.05,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,imitate,0.1,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,imitate,0.2,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,mix,0.05,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,mix,0.1,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,mix,0.2,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D1,anti,,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.043
D2,imitate,0.05,128,1000,10000,0.5016,0.4763,0.527,0.0,0.0,0.0038,1000,0.0503
D2,imitate,0.1,128,1000,10000,0.5113,0.486,0.5366,0.2,0.1764,0.2259,1000,0.0503
D2,imitate,0.2,128,1000,10000,0.4981,0.4728,0.5234,0.001,0.0002,0.0056,1000,0.0503
D2,mix,0.05,128,1000,10000,1.0,1.0,1.0,0.874,0.852,0.8931,1000,0.0503
D2,mix,0.1,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,mix,0.2,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D2,anti,,128,1000,10000,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0503
D1,imitate,0.05,128,fit,30,0.5342,0.5139,0.5544,0.059,0.046,0.0754,1000,0.0455
D1,imitate,0.1,128,fit,30,0.6303,0.6102,0.6505,0.14,0.1199,0.1629,1000,0.0455
D1,imitate,0.2,128,fit,30,0.9806,0.9745,0.9866,0.912,0.8928,0.928,1000,0.0455
D1,mix,0.05,128,fit,30,0.6001,0.5798,0.6204,0.081,0.0656,0.0996,1000,0.0455
D1,mix,0.1,128,fit,30,0.6841,0.6645,0.7038,0.157,0.1358,0.1809,1000,0.0455
D1,mix,0.2,128,fit,30,0.8091,0.7921,0.8261,0.33,0.3016,0.3597,1000,0.0455
D1,anti,,128,fit,30,1.0,0.9999,1.0,1.0,0.9962,1.0,1000,0.0455
D2,imitate,0.05,128,fit,30,0.4991,0.4738,0.5244,0.05,0.0381,0.0653,1000,0.0493
D2,imitate,0.1,128,fit,30,0.5222,0.4969,0.5475,0.096,0.0793,0.1158,1000,0.0493
D2,imitate,0.2,128,fit,30,0.504,0.4787,0.5293,0.02,0.013,0.0307,1000,0.0493
D2,mix,0.05,128,fit,30,0.6438,0.6198,0.6679,0.172,0.1499,0.1966,1000,0.0493
D2,mix,0.1,128,fit,30,0.7177,0.6954,0.74,0.324,0.2957,0.3536,1000,0.0493
D2,mix,0.2,128,fit,30,0.9009,0.887,0.9149,0.528,0.497,0.5588,1000,0.0493
D2,anti,,128,fit,30,0.9926,0.9889,0.9964,0.968,0.9552,0.9772,1000,0.0493
D1,imitate,0.05,128,fit,100,0.5714,0.5511,0.5917,0.088,0.072,0.1072,1000,0.0418
D1,imitate,0.1,128,fit,100,0.7693,0.7512,0.7875,0.307,0.2792,0.3363,1000,0.0418
D1,imitate,0.2,128,fit,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0418
D1,mix,0.05,128,fit,100,0.6659,0.6461,0.6858,0.128,0.1087,0.1501,1000,0.0418
D1,mix,0.1,128,fit,100,0.8197,0.8031,0.8364,0.37,0.3406,0.4004,1000,0.0418
D1,mix,0.2,128,fit,100,0.9633,0.955,0.9715,0.805,0.7793,0.8284,1000,0.0418
D1,anti,,128,fit,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0418
D2,imitate,0.05,128,fit,100,0.51,0.4847,0.5353,0.033,0.0236,0.046,1000,0.0522
D2,imitate,0.1,128,fit,100,0.4943,0.469,0.5197,0.097,0.0802,0.1169,1000,0.0522
D2,imitate,0.2,128,fit,100,0.5007,0.4754,0.526,0.054,0.0416,0.0698,1000,0.0522
D2,mix,0.05,128,fit,100,0.7202,0.698,0.7424,0.18,0.1574,0.205,1000,0.0522
D2,mix,0.1,128,fit,100,0.817,0.7984,0.8356,0.517,0.486,0.5478,1000,0.0522
D2,mix,0.2,128,fit,100,0.9841,0.9785,0.9896,0.928,0.9103,0.9424,1000,0.0522
D2,anti,,128,fit,100,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0522
D1,imitate,0.05,128,fit,300,0.6796,0.6599,0.6994,0.202,0.1783,0.228,1000,0.0585
D1,imitate,0.1,128,fit,300,0.9549,0.9458,0.964,0.8,0.7741,0.8236,1000,0.0585
D1,imitate,0.2,128,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D1,mix,0.05,128,fit,300,0.784,0.7663,0.8018,0.336,0.3074,0.3659,1000,0.0585
D1,mix,0.1,128,fit,300,0.9632,0.955,0.9715,0.838,0.8139,0.8595,1000,0.0585
D1,mix,0.2,128,fit,300,0.9998,0.9992,1.0,1.0,0.9962,1.0,1000,0.0585
D1,anti,,128,fit,300,1.0,1.0,1.0,1.0,0.9962,1.0,1000,0.0585
D2,imitate,0.05,128,fit,300,0.5244,0.4991,0.5497,0.016,0.0099,0.0258,1000,0.054
D2,imitate,0.1,128,fit,300,0.5005,0.4752,0.5258,0.144,0.1236,0.1671,1000,0.054
D2,imitate,0.2,128,fit,300,0.493,0.4677,0.5183,0.042,0.0312,0.0563,1000,0.054
D2,mix,0.05,128,fit,300,0.8706,0.8548,0.8865,0.258,0.2318,0.286,1000,0.054
