episode,agent_steps,elapsed_s,nash_conv,exploitability,sl_loss_p0,sl_loss_p1,rl_loss_p0,rl_loss_p1
2120000,5175458,2967.6,0.051497,0.025748,0.40553,0.421769,0.449276,0.52056
2130000,5199268,2981.6,0.049912,0.024956,0.463335,0.309254,0.673309,0.569442
2140000,5223059,2996.4,0.052031,0.026015,0.499223,0.361676,0.48541,0.515463
2150000,5246812,3010.0,0.046738,0.023369,0.407595,0.371334,0.5388,0.742984
2160000,5270559,3024.8,0.043139,0.02157,0.391721,0.404321,0.461565,0.706212
2170000,5294410,3039.2,0.05713,0.028565,0.419908,0.416007,0.585559,0.629002
2180000,5318225,3054.0,0.043867,0.021934,0.394303,0.378254,0.55855,0.741013
2190000,5342047,3067.2,0.044157,0.022078,0.38795,0.331165,0.621977,0.555718
2200000,5365889,3081.9,0.052652,0.026326,0.400613,0.359265,0.419364,0.596224
2210000,5389814,3095.5,0.046329,0.023164,0.473302,0.307383,0.613253,0.661315
2220000,5413717,3109.4,0.043951,0.021975,0.449721,0.422056,0.693181,0.749449
2230000,5437794,3124.0,0.045685,0.022843,0.451016,0.385708,0.532706,0.626575
2240000,5461714,3137.3,0.046345,0.023173,0.513416,0.298086,0.295372,0.476186
2250000,5485628,3151.3,0.048594,0.024297,0.479168,0.320501,0.528065,0.477173
2260000,5509649,3165.4,0.045252,0.022626,0.325436,0.350538,0.455038,0.635814
2270000,5533531,3178.5,0.05069,0.025345,0.469304,0.406661,0.500522,0.596603
2280000,5557566,3192.5,0.044551,0.022276,0.474838,0.388807,0.543699,0.425208
2290000,5581577,3205.8,0.041271,0.020635,0.476038,0.417118,0.461246,0.922111
2300000,5605565,3219.8,0.042424,0.021212,0.40222,0.394849,0.485698,0.89561
2310000,5629680,3234.0,0.049648,0.024824,0.429361,0.352678,0.465367,0.666408
2320000,5653822,3247.9,0.054318,0.027159,0.424651,0.369875,0.676309,0.486502
2330000,5677911,3261.8,0.050334,0.025167,0.453257,0.315395,0.678269,0.607537
2340000,5702027,3275.5,0.044457,0.022228,0.460077,0.41132,0.390452,0.65286
2350000,5726197,3288.7,0.043277,0.021638,0.444702,0.328314,0.743739,0.508932
2360000,5750291,3302.0,0.045488,0.022744,0.435435,0.337556,0.60205,0.568811
2370000,5774531,3315.0,0.046756,0.023378,0.405486,0.294475,0.41827,0.533864
